fecha,orig,sa
2017-05-01,6188.84,6212.84
2017-06-01,6193.17,6227.426
2017-07-01,6202.014,6235.498
2017-09-01,6221.484,6245.789
2017-11-01,6282.184,6269.442
2018-01-01,6309.334,6275.067
2018-02-01,6308.065,6270.723
2018-03-01,6322.588,6279.037
2018-04-01,6279.701,6281.678
2018-05-01,6251.076,6275.246
2018-06-01,6216.704,6254.233
2018-07-01,6215.106,6244.008
2018-08-01,6212.924,6234.68
2018-09-01,6181.243,6209.924
2018-10-01,6194.592,6195.416
2018-11-01,6182.767,6169.407
2018-12-01,6167.38,6152.87
2019-01-01,6179.231,6146.048
2019-02-01,6187.63,6150.337
2019-03-01,6177.311,6133.458
2019-04-01,6126.454,6126.672
2019-05-01,6097.027,6119.902
2019-06-01,6070.263,6112.291
2019-07-01,6079.692,6105.529
2019-08-01,6071.154,6094.898
2019-09-01,6041.85,6066.009
2019-10-01,6039.439,6042.781
2019-11-01,6033.144,6023.584
2019-12-01,6020.703,6002.504
2020-01-01,6021.939,5988.303
2020-02-01,6028.392,5991.204
2020-03-01,5994.42,5947.333
2020-04-01,5836.865,5839.891
2020-05-01,5787.439,5814.582
2020-06-01,5776.556,5808.72
2020-07-01,5768.547,5793.86
2020-08-01,5770.021,5796.123
2020-09-01,5780.89,5800.753
2020-10-01,5795.055,5802.084
2020-11-01,5816.818,5808.304
2020-12-01,5826.014,5806.959
2021-01-01,5850.593,5824.95
2021-02-01,5872.011,5837.634
2021-03-01,5907.382,5861.261
2021-04-01,5895.112,5895.455
2021-05-01,5869.969,5896.367
2021-06-01,5869.182,5901.209
2021-07-01,5876.034,5902.397
2021-08-01,5895.277,5916.198
2021-09-01,5916.087,5936.179
2021-10-01,5940.33,5950.881
2021-11-01,5988.541,5974.631
2021-12-01,6027.687,6007.632
2022-01-01,6069.317,6042.185
2022-02-01,6095.135,6060.653
2022-03-01,6129.715,6085.712
2022-04-01,6110.171,6115.871
2022-05-01,6117.962,6140.769
2022-06-01,6134.032,6168.227
2022-07-01,6169.348,6199.268
2022-08-01,6186.755,6205.735
2022-09-01,6210.839,6229.379
2022-10-01,6236.623,6247.957
2022-11-01,6278.154,6264.525
2022-12-01,6296.204,6276.42
2023-01-01,6333.404,6299.512
2023-02-01,6348.193,6313.282
2023-03-01,6377.525,6336.254
2023-04-01,6339.738,6351.399
2023-05-01,6347.788,6368.487
2023-06-01,6353.117,6386.097
2023-07-01,6374.49,6404.627
2023-08-01,6387.707,6407.556
2023-09-01,6371.65,6392.607
2023-10-01,6374.399,6380.333
2023-11-01,6385.764,6372.258
2023-12-01,6379.12,6361.36
2024-01-01,6363.884,6327.856
2024-02-01,6337.933,6301.454
2024-03-01,6306.558,6276.543
2024-04-01,6257.457,6258.909
2024-05-01,6227.984,6249.312
2024-06-01,6199.484,6239.338
2024-07-01,6210.704,6232.84
2024-08-01,6215.334,6236.458
2024-09-01,6224.246,6245.33
2024-10-01,6249.844,6252.945
2024-11-01,6267.843,6254.594
2024-12-01,6285.719,6263.85
2025-01-01,6290.114,6256.285
2025-02-01,6298.957,6266.049
2025-03-01,6285.043,6254.774
2025-04-01,6258.727,6264.938
2025-05-01,6244.075,6267.749
2025-06-01,6216.852,6252.575
2025-07-01,6216.808,6239.848
2025-08-01,6204.513,6228.074
2025-09-01,6198.47,6214.341
2025-10-01,6196.116,6198.154
2025-11-01,6190.65,6181.467
2025-12-01,6193.526,6168.889
2026-01-01,6195.879,6165.613
2026-02-01,6198.923,6166.578
